,date,일누적 자외선 A(MJ/m2),일최대 자외선 B(W/m2 ),평균 오존전량(DU),미세머지_10,미세머지_11,미세머지_12,미세머지_13,미세머지_14,운량_10,운량_11,운량_12,운량_13,운량_14,총자외선지수 일최고값
0,2012-01-01,0.16,0.028,-999.0,71.0,68.0,70.0,71.0,24.0,10.0,10.0,10.0,10.0,10.0,1.5
1,2012-01-02,0.21,0.032,-999.0,89.0,74.0,82.0,105.0,73.0,8.0,7.0,7.0,4.0,6.0,1.6
2,2012-01-03,0.21,0.043,-999.0,64.0,50.0,49.0,50.0,33.0,8.0,8.0,8.0,10.0,10.0,2.2
3,2012-01-04,0.25,0.034,-999.0,45.0,53.0,63.0,50.0,45.0,6.0,7.0,7.0,8.0,8.0,1.7
4,2012-01-05,0.41,0.052,-999.0,39.0,37.0,47.0,35.0,33.0,1.0,3.0,7.0,8.0,8.0,2.6
5,2012-01-06,0.35,0.051,-999.0,32.0,23.0,43.0,36.0,38.0,4.0,6.0,3.0,6.0,5.0,2.6
6,2012-01-07,0.46,0.055,-999.0,56.0,56.0,48.0,37.0,32.0,0.0,0.0,0.0,0.0,0.0,2.8
7,2012-01-08,0.31,0.041,-999.0,43.0,44.0,37.0,31.0,28.0,0.0,0.0,5.0,8.0,8.0,2.0
8,2012-01-09,0.15,0.018,-999.0,72.0,68.0,68.0,72.0,88.0,9.0,9.0,9.0,9.0,9.0,0.9
9,2012-01-10,0.4,0.052,-999.0,65.0,61.0,60.0,53.0,57.0,0.0,0.0,0.0,0.0,0.0,2.6
10,2012-01-11,0.44,0.049,-999.0,37.0,41.0,45.0,39.0,43.0,6.0,6.0,6.0,5.0,4.0,2.5
11,2012-01-12,0.42,0.054,-999.0,34.0,32.0,29.0,23.0,23.0,7.0,4.0,2.0,4.0,8.0,2.7
12,2012-01-13,0.24,0.029,-999.0,125.0,161.0,134.0,137.0,141.0,7.0,6.0,8.0,7.0,7.0,1.5
13,2012-01-14,0.48,0.056,-999.0,37.0,34.0,35.0,33.0,31.0,0.0,0.0,0.0,2.0,2.0,2.9
14,2012-01-15,0.39,0.055,-999.0,47.0,44.0,21.0,19.0,11.0,8.0,8.0,8.0,8.0,8.0,2.7
15,2012-01-16,0.48,0.056,-999.0,56.0,58.0,53.0,30.0,35.0,1.0,0.0,0.0,0.0,0.0,2.8
16,2012-01-17,0.39,0.05,-999.0,62.0,86.0,70.0,59.0,41.0,8.0,7.0,7.0,7.0,6.0,2.5
17,2012-01-18,0.36,0.041,-999.0,103.0,119.0,118.0,133.0,144.0,4.0,3.0,3.0,3.0,3.0,2.1
18,2012-01-19,0.25,0.033,-999.0,57.0,37.0,24.0,19.0,11.0,10.0,10.0,10.0,10.0,10.0,1.6
19,2012-01-20,0.16,0.022,-999.0,17.0,14.0,17.0,19.0,27.0,10.0,10.0,10.0,10.0,10.0,1.1
20,2012-01-21,0.26,0.04,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,10.0,10.0,10.0,10.0,10.0,1.9
