date,uv
2012-05-01,8
2012-05-02,11.6
2012-05-03,9.4
2012-05-04,10.3
2012-05-05,8.2
2012-05-06,8
2012-05-07,7.6
2012-05-08,5.5
2012-05-09,7.2
2012-05-10,7.3
2012-05-11,6.6
2012-05-12,8
2012-05-13,9.3
2012-05-14,1.9
2012-05-15,9.2
2012-05-16,9.4
2012-05-17,8.2
2012-05-18,10
2012-05-19,7.7
2012-05-20,9
2012-05-21,NA
2012-05-22,10.7
2012-05-23,NA
2012-05-24,8.5
2012-05-25,10.7
2012-05-26,9.4
2012-05-27,NA
2012-05-28,NA
2012-05-29,9.1
2012-05-30,8.6
2012-05-31,9.4
2012-06-01,10.8
2012-06-02,10.8
2012-06-03,9.8
2012-06-04,11
2012-06-05,NA
2012-06-06,6.4
2012-06-07,11.3
2012-06-08,4.2
2012-06-09,10.6
2012-06-10,10
2012-06-11,7.3
2012-06-12,10.1
2012-06-13,9.8
2012-06-14,9.6
2012-06-15,8.4
2012-06-16,11.4
2012-06-17,10.6
2012-06-18,NA
2012-06-19,9.6
2012-06-20,9.5
2012-06-21,9.5
2012-06-22,6.8
2012-06-23,8.4
2012-06-24,5.1
2012-06-25,10.5
2012-06-26,10.5
2012-06-27,11.2
2012-06-28,13.4
2012-06-29,9.8
2012-06-30,4.7
2012-07-01,13.3
2012-07-02,12.7
2012-07-03,9.4
2012-07-04,7.4
2012-07-05,5.4
2012-07-06,7.6
2012-07-07,11.4
2012-07-08,11.3
2012-07-09,11.3
2012-07-10,4.5
2012-07-11,9.6
2012-07-12,8.7
2012-07-13,7.3
2012-07-14,6.6
2012-07-15,8.8
2012-07-16,10.1
2012-07-17,4.9
2012-07-18,13.9
2012-07-19,11.5
2012-07-20,12.1
2012-07-21,12
2012-07-22,13.1
2012-07-23,13.5
2012-07-24,13.5
2012-07-25,13.1
2012-07-26,12.2
2012-07-27,NA
2012-07-28,13.1
2012-07-29,NA
2012-07-30,12
2012-07-31,12.4
2012-08-01,10.5
2012-08-02,15.3
2012-08-03,11.8
2012-08-04,10.9
2012-08-05,11.2
2012-08-06,10.6
2012-08-07,9.8
2012-08-08,9
2012-08-09,10.4
2012-08-10,7.2
2012-08-11,11.6
2012-08-12,4.4
2012-08-13,8.2
2012-08-14,9.5
2012-08-15,NA
2012-08-16,9.8
2012-08-17,11.4
2012-08-18,12.9
2012-08-19,11.9
2012-08-20,3.7
2012-08-21,6.4
2012-08-22,6.1
2012-08-23,9.7
2012-08-24,5
2012-08-25,11.1
2012-08-26,11.3
2012-08-27,8.7
2012-08-28,3
2012-08-29,8.5
2012-08-30,2.8
2012-08-31,8.9
2012-09-01,8.5
2012-09-02,8.9
2012-09-03,9
2012-09-04,2.8
2012-09-05,9.5
2012-09-06,9
2012-09-07,8.3
2012-09-08,9.7
2012-09-09,5.7
2012-09-10,8.5
2012-09-11,8.9
2012-09-12,9.2
2012-09-13,1.2
2012-09-14,7.8
2012-09-15,7.2
2012-09-16,3.9
2012-09-17,1.8
2012-09-18,8.8
2012-09-19,7.6
2012-09-20,7.8
2012-09-21,7.7
2012-09-22,7.7
2012-09-23,7.2
2012-09-24,7.2
2012-09-25,8
2012-09-26,8.6
2012-09-27,5.2
2012-09-28,6.6
2012-09-29,8.1
2012-09-30,7.8
2013-05-01,8.1
2013-05-02,8
2013-05-03,5.2
2013-05-04,7.6
2013-05-05,6.9
2013-05-06,NA
2013-05-07,7.1
2013-05-08,8.7
2013-05-09,4.6
2013-05-10,6.4
2013-05-11,NA
2013-05-12,NA
2013-05-13,9
2013-05-14,10.1
2013-05-15,10.5
2013-05-16,10.5
2013-05-17,12.2
2013-05-18,9.1
2013-05-19,9.4
2013-05-20,5.1
2013-05-21,10.3
2013-05-22,6
2013-05-23,10.5
2013-05-24,9.3
2013-05-25,9.1
2013-05-26,9.7
2013-05-27,2.1
2013-05-28,2.9
2013-05-29,NA
2013-05-30,11.7
2013-05-31,10.1
2013-06-01,7.8
2013-06-02,10.5
2013-06-03,8.8
2013-06-04,8.2
2013-06-05,7.4
2013-06-06,9.2
2013-06-07,9.4
2013-06-08,7.1
2013-06-09,NA
2013-06-10,11
2013-06-11,8.6
2013-06-12,12.2
2013-06-13,10.5
2013-06-14,9.8
2013-06-15,11.3
2013-06-16,11
2013-06-17,8.8
2013-06-18,0.6
2013-06-19,13.3
2013-06-20,11.5
2013-06-21,10
2013-06-22,12.2
2013-06-23,13.6
2013-06-24,10.1
2013-06-25,8.2
2013-06-26,10.1
2013-06-27,9.6
2013-06-28,9.1
2013-06-29,9.2
2013-06-30,9.1
2013-07-01,10.4
2013-07-02,6.2
2013-07-03,11
2013-07-04,2.9
2013-07-05,9.9
2013-07-06,10.3
2013-07-07,4.8
2013-07-08,2.7
2013-07-09,10
2013-07-10,8.9
2013-07-11,6.1
2013-07-12,2.7
2013-07-13,7
2013-07-14,4.7
2013-07-15,12.9
2013-07-16,12
2013-07-17,5
2013-07-18,12.5
2013-07-19,11.3
2013-07-20,10.7
2013-07-21,7.6
2013-07-22,9.2
2013-07-23,3.6
2013-07-24,9.5
2013-07-25,9.2
2013-07-26,9.6
2013-07-27,6.5
2013-07-28,4.5
2013-07-29,9.8
2013-07-30,6.3
2013-07-31,8.7
2013-08-01,8.6
2013-08-02,9.3
2013-08-03,10.8
2013-08-04,6.8
2013-08-05,9.2
2013-08-06,8.3
2013-08-07,7.7
2013-08-08,8.6
2013-08-09,7.1
2013-08-10,5.9
2013-08-11,7.1
2013-08-12,NA
2013-08-13,9.5
2013-08-14,NA
2013-08-15,9.7
2013-08-16,9.5
2013-08-17,8.9
2013-08-18,8.9
2013-08-19,7.5
2013-08-20,8.3
2013-08-21,8.2
2013-08-22,9.1
2013-08-23,5.7
2013-08-24,8.2
2013-08-25,7.9
2013-08-26,7.5
2013-08-27,6.8
2013-08-28,7.4
2013-08-29,0.9
2013-08-30,6.9
2013-08-31,8.2
2013-09-01,8.1
2013-09-02,5.9
2013-09-03,8.5
2013-09-04,8.2
2013-09-05,4
2013-09-06,4.6
2013-09-07,8.2
2013-09-08,7.3
2013-09-09,6
2013-09-10,4.9
2013-09-11,8.6
2013-09-12,5.7
2013-09-13,3.3
2013-09-14,6.3
2013-09-15,7.2
2013-09-16,8.2
2013-09-17,6.9
2013-09-18,6.4
2013-09-19,6.2
2013-09-20,7.1
2013-09-21,6.8
2013-09-22,6.2
2013-09-23,7
2013-09-24,3.3
2013-09-25,7.7
2013-09-26,7.1
2013-09-27,6.7
2013-09-28,4.2
2013-09-29,3.3
2013-09-30,5.2
2014-05-01,7.1
2014-05-02,5.8
2014-05-03,8.1
2014-05-04,6.4
2014-05-05,8.1
2014-05-06,7.3
2014-05-07,7.4
2014-05-08,6.5
2014-05-09,6.8
2014-05-10,6.5
2014-05-11,4.4
2014-05-12,8.4
2014-05-13,NA
2014-05-14,8.6
2014-05-15,9
2014-05-16,7.1
2014-05-17,5.5
2014-05-18,7.2
2014-05-19,7.5
2014-05-20,5.4
2014-05-21,NA
2014-05-22,11.1
2014-05-23,4.4
2014-05-24,6.9
2014-05-25,4
2014-05-26,8.7
2014-05-27,6.6
2014-05-28,6.4
2014-05-29,7.2
2014-05-30,6.1
2014-05-31,6.7
2014-06-01,5.6
